ticker,date,period_ending,estimate,reported,surprise,surprise%
STEL,10/25/2024,9/30/2024,0.48,0.63,0.15,31.2500
STEM,10/30/2024,9/30/2024,-0.21,-0.27,-0.06,-28.5714
STEP,11/7/2024,9/30/2024,0.46,0.45,-0.01,-2.1739
STGW,11/7/2024,9/30/2024,0.21,0.22,0.01,4.7619
STKL,11/5/2024,9/30/2024,0.02,0.02,0,0.0000
STLD,10/16/2024,9/30/2024,1.97,2.05,0.08,4.0609
STNE,11/12/2024,9/30/2024,0.31,1.9354,1.6254,524.3226
STNG,10/29/2024,9/30/2024,1.8751,1.75,-0.1251,-6.6716
STOK,11/5/2024,9/30/2024,-0.53,-0.4691,0.0609,11.4906
STR,11/6/2024,9/30/2024,0.14,0.15,0.01,7.1429
STRA,11/7/2024,9/30/2024,0.8,1.16,0.36,45.0000
STRL,11/6/2024,9/30/2024,1.71,1.97,0.26,15.2047
STRO,11/11/2024,9/30/2024,-0.73,-0.4982,0.2318,31.7534
STT,10/15/2024,9/30/2024,2.12,2.26,0.14,6.6038
STWD,11/6/2024,9/30/2024,0.47,0.48,0.01,2.1277
STZ,1/3/2025,11/30/2024,3.31,3.25,-0.06,-1.8127
SUI,11/6/2024,9/30/2024,1.61,2.31,0.7,43.4783
SUPN,11/4/2024,9/30/2024,0.44,0.69,0.25,56.8182
SVC,11/6/2024,9/30/2024,-0.24,-0.28,-0.04,-16.6667
SVRA,11/7/2024,9/30/2024,-0.11,-0.1145,-0.0045,-4.0909
SVV,11/8/2024,9/30/2024,0.1653,0.15,-0.0153,-9.2559
SW,10/30/2024,9/30/2024,0.76,-0.3,-1.06,-139.4737
SWBI,12/5/2024,10/31/2024,0.16,0.11,-0.05,-31.2500
SWI,10/31/2024,9/30/2024,0.25,0.27,0.02,8.0000
SWK,10/29/2024,9/30/2024,1.05,1.22,0.17,16.1905
SWKS,11/12/2024,9/30/2024,1.52,1.55,0.03,1.9737
SWTX,11/12/2024,9/30/2024,-0.75,-0.7208,0.0292,3.8933
SWX,11/6/2024,9/30/2024,0.15,0.09,-0.06,-40.0000
SXC,10/31/2024,9/30/2024,0.22,0.36,0.14,63.6364
SXI,10/29/2024,9/30/2024,1.7,1.71,0.01,0.5882
SXT,10/25/2024,9/30/2024,0.8,0.8,0,0.0000
SYBT,10/23/2024,9/30/2024,0.94,1,0.06,6.3830
SYF,10/16/2024,9/30/2024,1.79,1.94,0.15,8.3799
SYK,10/29/2024,9/30/2024,2.77,2.87,0.1,3.6101
SYNA,11/7/2024,9/30/2024,0.74,0.81,0.07,9.4595
SYRE,11/7/2024,9/30/2024,-0.82,-1.36,-0.54,-65.8537
SYY,10/29/2024,9/30/2024,1.13,1.09,-0.04,-3.5398
T,10/23/2024,9/30/2024,0.57,0.6,0.03,5.2632
TALO,11/4/2024,9/30/2024,-0.05,0.4883,0.5383,1076.6000
TAP,11/7/2024,9/30/2024,1.67,1.8,0.13,7.7844
TARS,11/7/2024,9/30/2024,-0.94,-0.61,0.33,35.1064
TBBK,10/24/2024,9/30/2024,1.13,1.04,-0.09,-7.9646
TBCH,11/8/2024,9/30/2024,0.178,0.4005,0.2225,125.0000
TBI,11/4/2024,9/30/2024,-0.15,-0.11,0.04,26.6667
TBPH,11/12/2024,9/30/2024,-0.23,-0.059,0.171,74.3478
TCBI,10/17/2024,9/30/2024,0.94,1.62,0.68,72.3404
TCBK,10/24/2024,9/30/2024,0.81,0.88,0.07,8.6420
